date,open,high,low,close
2020-04-23,233.08000000,247.00000000,225.83000000,237.40000000
2020-04-24,237.36000000,242.26000000,233.31000000,237.90000000
2020-04-25,237.90000000,245.76000000,235.04000000,238.07000000
2020-04-26,238.06000000,249.42000000,237.38000000,246.36000000
2020-04-27,246.35000000,248.07000000,234.02000000,242.75000000
2020-04-28,242.77000000,243.13000000,236.94000000,241.14000000
2020-04-29,241.14000000,262.81000000,241.03000000,257.77000000
2020-04-30,257.71000000,275.57000000,245.01000000,250.05000000
2020-05-01,250.05000000,260.22000000,250.05000000,254.79000000
2020-05-02,254.79000000,261.00000000,252.20000000,260.84000000
2020-05-03,260.84000000,267.76000000,245.70000000,251.65000000
2020-05-04,251.69000000,252.61000000,236.00000000,245.75000000
2020-05-05,245.77000000,252.28000000,240.96000000,246.90000000
2020-05-06,246.92000000,253.91000000,239.95000000,241.32000000
2020-05-07,241.32000000,256.62000000,235.50000000,251.90000000
2020-05-08,251.94000000,265.83000000,247.85000000,260.30000000
2020-05-09,260.16000000,277.46000000,258.51000000,265.24000000
2020-05-10,265.26000000,265.72000000,221.33000000,232.56000000
2020-05-11,232.68000000,238.00000000,216.52000000,235.16000000
2020-05-12,235.17000000,239.40000000,228.42000000,233.23000000
2020-05-13,233.25000000,242.00000000,231.74000000,239.41000000
2020-05-14,239.34000000,245.82000000,233.83000000,242.61000000
2020-05-15,242.51000000,243.39000000,230.93000000,235.21000000
2020-05-16,235.11000000,240.90000000,233.64000000,236.45000000
2020-05-17,236.45000000,247.43000000,235.61000000,240.73000000
2020-05-18,240.74000000,255.75000000,240.25000000,248.50000000
2020-05-19,248.49000000,250.94000000,242.36000000,246.74000000
2020-05-20,246.83000000,247.66000000,235.00000000,239.85000000
2020-05-21,239.79000000,243.00000000,220.65000000,228.22000000
2020-05-22,228.17000000,236.69000000,225.00000000,234.67000000
2020-05-23,234.67000000,240.00000000,231.96000000,234.11000000
2020-05-24,234.12000000,237.48000000,222.41000000,223.00000000
2020-05-25,222.91000000,233.28000000,220.96000000,230.55000000
2020-05-26,230.56000000,231.27000000,223.91000000,228.01000000
2020-05-27,228.00000000,234.80000000,227.03000000,232.85000000
2020-05-28,232.85000000,241.00000000,228.85000000,239.86000000
2020-05-29,239.91000000,243.99000000,233.05000000,238.43000000
2020-05-30,238.35000000,253.75000000,236.20000000,252.38000000
2020-05-31,252.41000000,252.76000000,236.00000000,238.69000000
2020-06-01,238.67000000,255.00000000,237.42000000,253.19000000
2020-06-02,253.29000000,269.61000000,241.67000000,250.85000000
2020-06-03,250.86000000,254.00000000,246.25000000,253.23000000
2020-06-04,253.17000000,260.92000000,247.50000000,256.18000000
2020-06-05,256.17000000,263.45000000,254.49000000,256.05000000
2020-06-06,256.11000000,258.26000000,250.88000000,253.23000000
2020-06-07,253.21000000,255.78000000,245.22000000,253.56000000
2020-06-08,253.56000000,256.72000000,251.30000000,255.24000000
2020-06-09,255.30000000,257.15000000,250.50000000,254.05000000
2020-06-10,254.02000000,258.76000000,250.60000000,256.94000000
2020-06-11,256.95000000,258.00000000,231.28000000,234.74000000
2020-06-12,234.73000000,243.66000000,233.08000000,240.85000000
2020-06-13,240.85000000,242.25000000,237.29000000,240.69000000
2020-06-14,240.70000000,240.84000000,234.93000000,237.48000000
2020-06-15,237.47000000,238.32000000,224.41000000,235.64000000
2020-06-16,235.64000000,239.00000000,232.50000000,237.46000000
2020-06-17,237.47000000,246.00000000,235.06000000,240.39000000
2020-06-18,240.40000000,240.70000000,232.53000000,236.04000000
2020-06-19,236.05000000,236.54000000,230.46000000,233.39000000
2020-06-20,233.39000000,235.19000000,228.62000000,232.80000000
2020-06-21,232.80000000,234.16000000,229.71000000,230.31000000
2020-06-22,230.33000000,243.98000000,229.75000000,241.03000000
2020-06-23,241.04000000,244.45000000,239.18000000,240.69000000
2020-06-24,240.68000000,245.62000000,229.34000000,232.80000000
2020-06-25,232.72000000,235.09000000,226.23000000,232.45000000
